County,ZIP Code,Year,New,Renewed,Insured-Initiated Nonrenewed,Insurer-Initiated Nonrenewed,,,
Los Angeles,91367,2015,1129,7672,870,210,,,
Los Angeles,91372,2015,0,6,0,0,,,
Los Angeles,91376,2015,0,5,0,0,,,
Ventura,91377,2015,336,3247,266,59,,,
Los Angeles,91380,2015,0,8,0,0,,,
Los Angeles,91381,2015,550,3854,447,71,,,
Los Angeles,91383,2015,0,1,0,0,,,
Los Angeles,91384,2015,649,5461,489,124,,,
Los Angeles,91386,2015,0,2,0,0,,,
Los Angeles,91387,2015,838,6317,664,152,,,
Los Angeles,91390,2015,527,4522,423,88,,,
Los Angeles,91392,2015,0,6,0,0,,,
Los Angeles,91393,2015,0,2,0,0,,,
Los Angeles,91394,2015,0,7,0,0,,,
Los Angeles,91395,2015,0,1,0,0,,,
Los Angeles,91396,2015,0,9,0,0,,,
Los Angeles,91401,2015,792,5156,601,144,,,
Los Angeles,91402,2015,698,5008,520,138,,,
Los Angeles,91403,2015,585,4009,451,113,,,
Los Angeles,91404,2015,0,1,0,0,,,
Los Angeles,91405,2015,638,3935,467,123,,,
Los Angeles,91406,2015,992,7383,778,181,,,
Los Angeles,91407,2015,0,1,0,0,,,
Los Angeles,91409,2015,0,10,0,0,,,
Los Angeles,91410,2015,0,1,0,0,,,
Los Angeles,91411,2015,315,2328,260,52,,,
Los Angeles,91412,2015,0,6,0,0,,,
Los Angeles,91413,2015,0,17,1,0,,,
,91415,2015,0,0,0,1,,,
Los Angeles,91416,2015,0,15,0,0,,,
Los Angeles,91423,2015,657,4937,507,131,,,
Los Angeles,91426,2015,0,3,0,2,,,
Los Angeles,91436,2015,670,4373,519,149,,,
Los Angeles,91501,2015,333,2541,255,54,,,
Los Angeles,91502,2015,39,442,36,6,,,
Los Angeles,91503,2015,0,6,0,0,,,
Los Angeles,91504,2015,490,4648,371,73,,,
Los Angeles,91505,2015,756,7338,647,90,,,
Los Angeles,91506,2015,503,4729,412,67,,,
Los Angeles,91508,2015,0,1,0,0,,,
Los Angeles,91510,2015,0,3,0,1,,,
Los Angeles,91521,2015,0,1,0,0,,,
,91591,2015,0,1,0,0,,,
Los Angeles,91601,2015,468,3509,379,84,,,
Los Angeles,91602,2015,328,2306,261,49,,,
Los Angeles,91603,2015,0,1,0,0,,,
Los Angeles,91604,2015,830,5405,686,161,,,
Los Angeles,91605,2015,891,6172,651,188,,,
Los Angeles,91606,2015,680,5001,557,106,,,
Los Angeles,91607,2015,513,3705,449,96,,,
Los Angeles,91608,2015,0,1,0,1,,,
Los Angeles,91610,2015,0,0,0,0,,,
Los Angeles,91614,2015,0,4,0,1,,,
Los Angeles,91615,2015,0,1,0,0,,,
Los Angeles,91616,2015,0,1,0,0,,,
Los Angeles,91617,2015,0,2,0,0,,,
,91646,2015,0,1,0,0,,,
San Bernardino,91701,2015,1325,10427,1060,196,,,
Los Angeles,91702,2015,1036,8799,738,181,,,
Los Angeles,91706,2015,1192,10785,935,197,,,
San Bernardino,91708,2015,278,1219,227,28,,,
San Bernardino,91709,2015,2370,17971,1947,390,,,
San Bernardino,91710,2015,2117,15326,1528,281,,,
Los Angeles,91711,2015,905,7923,702,141,,,
Los Angeles,91715,2015,0,12,0,0,,,
Los Angeles,91716,2015,0,1,0,0,,,
,91718,2015,0,2,0,0,,,
,91719,2015,0,36,1,1,,,
,91720,2015,0,25,4,1,,,
Los Angeles,91722,2015,818,7082,635,140,,,
Los Angeles,91723,2015,325,3051,233,64,,,
Los Angeles,91724,2015,639,5366,477,129,,,
San Bernardino,91729,2015,4,29,0,1,,,
San Bernardino,91730,2015,1427,10212,1125,251,,,
Los Angeles,91731,2015,378,3621,291,71,,,
Los Angeles,91732,2015,982,7796,744,168,,,
Los Angeles,91733,2015,551,5121,365,112,,,
Los Angeles,91734,2015,0,2,0,0,,,
San Bernardino,91737,2015,789,5896,623,119,,,
San Bernardino,91739,2015,1420,7925,1057,150,,,
Los Angeles,91740,2015,610,5569,482,115,,,
Los Angeles,91741,2015,735,7050,570,132,,,
San Bernardino,91743,2015,0,0,0,0,,,
Los Angeles,91744,2015,1581,12441,1071,359,,,
Los Angeles,91745,2015,1294,12178,1006,254,,,
Los Angeles,91746,2015,542,4929,395,104,,,
Los Angeles,91747,2015,0,7,0,0,,,
Los Angeles,91748,2015,1104,9044,860,220,,,
Los Angeles,91750,2015,955,8971,733,145,,,
Riverside,91752,2015,1125,5200,569,198,,,
,91753,2015,1,0,0,0,,,
Los Angeles,91754,2015,697,6921,543,134,,,
Los Angeles,91755,2015,482,4474,347,74,,,
Los Angeles,91756,2015,1,5,2,0,,,
San Bernardino,91758,2015,0,1,0,0,,,
Los Angeles,91759,2015,4,222,22,3,,,
,91760,2015,0,16,0,0,,,
San Bernardino,91761,2015,1290,9949,997,223,,,
San Bernardino,91762,2015,1178,8687,843,175,,,
San Bernardino,91763,2015,701,5727,519,131,,,
San Bernardino,91764,2015,1095,7637,781,205,,,
Los Angeles,91765,2015,1435,10430,1118,294,,,
Los Angeles,91766,2015,1351,10251,950,249,,,
Los Angeles,91767,2015,1059,7758,806,185,,,
Los Angeles,91768,2015,601,4567,421,108,,,
Los Angeles,91769,2015,0,5,0,0,,,
Los Angeles,91770,2015,1307,11292,978,208,,,
Los Angeles,91773,2015,835,7673,637,186,,,
Los Angeles,91775,2015,635,6003,498,93,,,
Los Angeles,91776,2015,676,5591,530,127,,,
,91777,2015,0,0,0,1,,,
Los Angeles,91778,2015,0,4,0,0,,,
Los Angeles,91780,2015,973,8229,821,147,,,
San Bernardino,91784,2015,1057,7789,773,157,,,
San Bernardino,91785,2015,1,8,0,0,,,
San Bernardino,91786,2015,1050,8471,820,181,,,
Los Angeles,91788,2015,0,17,0,0,,,
Los Angeles,91789,2015,1270,10561,1038,225,,,
Los Angeles,91790,2015,1006,8914,787,156,,,
Los Angeles,91791,2015,892,6451,671,122,,,
Los Angeles,91792,2015,586,4810,466,103,,,
